frame,car_count,bus_count,truck_count,density
677,7,0,0,0.01733205343671553
678,2,0,0,0.0027121173286448336
679,6,0,0,0.010752118181273411
680,5,0,0,0.017376987816673205
681,8,1,0,0.03194591769059857
682,4,0,0,0.007420414972657454
683,4,0,0,0.00875327564870082
684,5,0,0,0.008184738393393662
685,5,0,0,0.01167169928741512
686,5,1,0,0.016173583303368363
687,3,0,0,0.012699209922812534
688,4,2,0,0.014622748204911423
689,5,0,0,0.010696226464545665
690,4,0,0,0.010061418398787889
691,1,1,0,0.005986204872670997
692,3,0,0,0.005262126535181542
693,3,0,0,0.007102547002568939
694,4,0,0,0.007426017323191951
695,7,0,0,0.015899806860769684
696,8,0,0,0.014718279015222732
697,8,0,0,0.013452708630192555
698,5,2,0,0.01754347546929407
699,4,0,0,0.007045854132631104
700,7,2,1,0.03148473300316255
701,5,1,0,0.012493374352973964
702,13,1,0,0.02249238194769678
703,8,2,0,0.023129929994393922
704,4,2,0,0.013708738158004255
705,5,2,0,0.0168654509608664
706,10,2,0,0.02444795973927004
707,3,2,0,0.01603538280381515
708,8,2,0,0.025748623971583718
709,7,2,0,0.01717429323056152
710,7,2,0,0.019412452338729055
711,5,3,0,0.027009203946205318
712,6,1,0,0.011290406807788207
713,6,1,0,0.009675075430435822
714,7,0,0,0.009577269032640659
715,4,1,0,0.013738257741105944
716,8,1,0,0.01781140905941828
717,4,2,1,0.021833637180356566
718,3,2,0,0.013176169280454309
719,2,1,0,0.008192145111550215
720,5,1,0,0.014714825266240456
721,2,2,0,0.020165185436554666
722,2,2,0,0.015157051347373959
723,2,2,0,0.01051624237085451
724,3,1,0,0.007042586243995983
725,4,1,0,0.010319528411335476
726,3,3,0,0.02178243816965317
727,9,0,0,0.014407521921834645
728,9,1,0,0.03715120196287225
729,2,2,0,0.013748896721145785
730,3,1,0,0.008779839117864698
731,3,2,0,0.03520467967774527
732,5,0,0,0.008037119350946914
733,4,1,0,0.010368575266410416
734,8,1,0,0.025591519552237717
735,5,1,0,0.014702356187567434
736,3,1,0,0.00955153087567952
737,3,1,0,0.009665292588599389
738,7,0,0,0.013278865717002191
739,3,2,0,0.014483169314701594
740,8,2,0,0.02683921233603025
741,7,2,0,0.03164846133922563
742,4,1,0,0.018875708257417297
743,4,1,0,0.011116555600833466
744,3,0,0,0.004952022542630503
745,2,2,0,0.013367606706209094
746,5,2,1,0.027329164968306244
747,7,1,0,0.025363879913854394
748,4,1,0,0.015065870669414935
749,4,1,0,0.010622586928969852
750,3,2,0,0.014599675558522533
751,6,1,0,0.013134478064667847
752,3,1,0,0.008861752515691074
753,3,2,0,0.032602151489926554
754,7,1,1,0.034430684216290336
755,4,3,1,0.02356372217055594
756,2,1,0,0.008313309452367119
757,2,1,0,0.007855957482841203
758,4,1,0,0.012500945652936935
759,9,0,0,0.012493080126927745
760,4,1,0,0.017595268516624518
761,7,1,0,0.015853041178200293
762,4,1,0,0.009819295762243671
763,5,3,0,0.01944692803607509
764,7,2,0,0.021474901534837516
765,3,5,0,0.06518327343072716
766,3,3,0,0.024387176119345873
767,6,1,0,0.014623629004515047
768,9,0,0,0.01404138840502667
769,7,0,0,0.0175788945151618
770,3,1,0,0.008600921686151263
771,8,1,0,0.01813947481890662
772,4,1,0,0.015198850002395632
773,5,1,0,0.019100929101593837
774,3,1,0,0.00867837134336393
775,4,1,0,0.017296332082532225
776,9,1,0,0.019508227169419204
777,3,2,0,0.017194133631592532
778,7,3,0,0.034859933965280004
779,6,3,1,0.036626185517174975
780,8,2,1,0.02807116976545791
781,10,3,0,0.05192716564591934
782,11,1,0,0.026933281232588882
783,6,2,0,0.0197620262059866
784,8,1,0,0.01706445381838982
785,10,0,0,0.019365981068367996
786,7,2,0,0.02702183563964927
787,9,1,0,0.015275495401459652
788,12,0,0,0.02118213039969114
789,7,0,0,0.016734472230641756
790,6,0,0,0.009775013108718903
791,7,0,0,0.009783061837348483
792,11,1,0,0.02190847450751958
793,5,2,0,0.01761995075482614
794,5,0,0,0.008727110148411831
795,6,1,0,0.013973508599457866
796,5,1,0,0.012481044402558365
797,8,0,0,0.014578449476854681
798,6,1,0,0.015814931097459826
799,9,1,0,0.027705242137056718
800,5,1,1,0.04300734465693326
801,7,0,0,0.014073649448929009
802,5,0,0,0.00921372807938081
803,8,2,0,0.024117371242588247
804,7,1,0,0.025368341472772213
805,8,3,0,0.028278099220992715
806,7,1,0,0.021691001063698895
807,7,1,0,0.017047701976899803
808,11,0,1,0.033084310271590735
809,8,0,0,0.028437808304674777
810,6,0,0,0.014475778711030554
811,8,1,0,0.01917684624600727
812,6,1,0,0.019177464914165384
813,6,1,1,0.0187309156926144
814,9,1,1,0.023907312796026092
815,5,0,1,0.015327152334907118
816,6,0,0,0.015099957348327196
817,9,2,1,0.041363578521911366
818,4,3,2,0.04007891135896056
